Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity
4111856,2,01/01/2017,2120,U,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Serious
4140822,2,04/01/2017,1500,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious
4150220,2,05/01/2017,732,A58,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4150345,2,05/01/2017,930,A646,Wet/Damp,Daylight:street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Serious
41E0364,2,14/01/2017,909,U,Frost/Ice,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
41F1023,1,15/01/2017,1659,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
41G0457,1,16/01/2017,1059,A646,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
41J1375,3,19/01/2017,1849,B6138,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
41K0828,1,20/01/2017,1408,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
41M0712,1,22/01/2017,1325,A58,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
41O0519,2,24/01/2017,1126,A629,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight
41O1290,2,24/01/2017,1830,A641,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
41P0637,2,25/01/2017,1258,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
41Q0527,3,26/01/2017,1133,A672,Wet/Damp,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
41Q0996,1,26/01/2017,1546,A6033,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
41R0704,1,27/01/2017,1335,U,Frost/Ice,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight
41R1106,2,27/01/2017,1405,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
41R1599,2,27/01/2017,2233,U,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
41R1837,2,27/01/2017,1835,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
41T1074,1,29/01/2017,1430,U,Wet/Damp,Daylight:street lights present,Raining with high winds,Car,Pedestrian,Slight
41T1644,2,29/01/2017,2230,U,Wet/Damp,Darkness: street lights present and lit,Fog or mist - if hazard,Car,Driver or rider,Slight
41U0773,1,30/01/2017,1444,U,Dry,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight
41V0794,2,31/01/2017,1435,A58,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Driver or rider,Slight
41V1319,2,31/01/2017,1840,U,Wet/Damp,Darkness: street lights present but unlit,Raining without high winds,Car,Driver or rider,Serious
4210771,2,01/02/2017,1400,A6139,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4220437,2,02/02/2017,1045,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4221640,2,02/02/2017,2200,A58,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4231362,1,03/02/2017,1806,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
4240348,3,04/02/2017,612,A6033,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
