Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
5131732,2,03/01/2018,2054,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
5140196,2,04/01/2018,551,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
5151479,2,05/01/2018,1650,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
51A0239,2,10/01/2018,744,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
5.1E+227,4,14/01/2018,348,Motorway,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
51E0855,2,14/01/2018,1325,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
51E1541,2,14/01/2018,1915,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
51E1807,2,14/01/2018,2030,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight
51G0202,1,16/01/2018,714,Unclassified,Frost / Ice,Darkness: no street lighting,Fine without high winds,M/cycle 50cc and under,Driver or rider,Slight
51G0210,1,16/01/2018,630,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
51G0850,1,16/01/2018,1533,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
51G1381,1,17/01/2018,1743,Unclassified,Snow,Darkness: street lights present and lit,Snowing without high winds,Car,Driver or rider,Slight
51H0673,2,16/01/2018,2045,Unclassified,Frost / Ice,Darkness: street lights present and lit,Snowing without high winds,Car,Driver or rider,Slight
51J0377,1,19/01/2018,830,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Serious
51J0860,2,19/01/2018,1330,Unclassified,Wet / Damp,Daylight: street lights present,Snowing without high winds,Car,Driver or rider,Slight
51K1427,3,20/01/2018,1857,Unclassified,Wet / Damp,Darkness: street lights present and lit,Other,Car,Driver or rider,Slight
51L0955,2,21/01/2018,955,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
51O1705,2,24/01/2018,1640,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
51P0335,2,25/01/2018,906,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
51P0705,2,25/01/2018,1225,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
51P1126,1,25/01/2018,1611,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
51Q1653,1,25/01/2018,2125,Unclassified,Snow,Darkness: street lights present but unlit,Other,Car,Pedestrian,Slight
51T0334,1,29/01/2018,845,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight
51T0938,1,29/01/2018,1400,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Pedestrian,Slight
51T1212,1,29/01/2018,1650,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
51U0217,2,30/01/2018,640,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Serious
5211329,2,01/02/2018,1730,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
5221131,2,02/02/2018,1520,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5241587,2,04/02/2018,1925,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious
5251301,2,05/02/2018,1557,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5280496,1,08/02/2018,945,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
52B0379,1,11/02/2018,625,A,Snow,Darkness: street lighting unknown,Fine with high winds,Car,Driver or rider,Slight
52D1303,2,12/02/2018,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
52D1587,2,13/02/2018,1934,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
5.2E+271,6,14/02/2018,804,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight
52G0476,1,16/02/2018,640,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
52G1371,2,16/02/2018,1713,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight
52I2016,1,18/02/2018,2345,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
52J0521,2,19/02/2018,1050,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
52L0707,3,21/02/2018,1230,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
52O0968,2,24/02/2018,1413,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
