Reference Number,Number of vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
7151256,2,43835,1750,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
7160423,1,43836,1030,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
7171140,1,43837,1640,A,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Pedestrian,Serious
7171206,1,43837,1706,B,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Pedestrian,Serious
7180871,1,43838,1441,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
71D0480,2,43843,1005,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
71D1372,1,43843,1735,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Pedestrian,Slight
71D1392,1,43843,1743,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine with high winds,Car,Pedestrian,Serious
71D1428,2,43843,1755,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Slight
71I1576,2,43848,1943,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
71K0212,2,43850,735,A,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
71M1567,2,43851,1925,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
71M1939,2,43852,2105,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
71P0706,2,43855,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
71P1368,2,43855,1730,A,Dry,Darkness:street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
71R0187,1,43857,539,A,Wet / damp,Darkness: no street lighting,Raining with high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
71R0464,2,43857,915,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
71S0275,2,43858,753,A,Frost / ice,Darkness: street lights present and lit,Fog or mist - if hazard,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight
71U0506,3,43860,1510,Motorway,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
71U0780,1,43860,1250,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Serious
71V0674,1,43861,1155,Unclassified,Wet / damp,Daylight: street lights present,Fine with high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Serious
71V1044,4,43861,1454,Motorway,Dry,Daylight: street lights present,Fine with high winds,Car,Driver or rider,Slight
7230659,1,43864,1219,Unclassified,Wet / damp,Daylight: street lights present,Fine with high winds,Car,Driver or rider,Serious
7260781,2,43867,1305,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7261097,2,43867,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7280230,1,43869,200,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
7292178,1,43870,2351,Motorway,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Slight
72A0091,1,43871,259,Motorway,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Slight
72C1002,2,43873,1933,Unclassified,Snow,Daylight: street lights present,Snowing with high winds,Car,Driver or rider,Slight
72H1437,2,43878,1849,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
72I0434,1,43879,950,Unclassified,Wet / damp,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Serious
72I1029,2,43879,1517,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
72L1362,1,43882,1815,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining with high winds,Car,Pedestrian,Serious
72P0106,1,43886,450,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Fatal
72R0352,1,43888,900,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight
72S0929,1,43889,1430,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Taxi/Private hire car,Pedestrian,Serious
7320567,3,43892,1127,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7360354,2,43896,910,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
7360373,2,43896,930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
7370968,4,43897,1420,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7381284,2,43898,1731,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7381475,2,43898,1910,A,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
7390799,2,43899,1325,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
73A1143,1,43900,1602,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
73F0617,1,43905,1141,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
73G0133,2,43906,245,A,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
73I0318,1,43908,855,Unclassified,Wet / damp,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight
73N0890,2,43913,1539,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
73P1523,2,43904,1800,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
73Q1706,2,43916,1930,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
73S1083,2,43918,1700,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
73U0958,5,43920,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious
